ptVxlArySize	 81.000000	81.000000	39.000000
vxlVoxel	255879
1.552666	1.973723	0.599115
1.552666	1.973723	0.651747
1.605298	1.973723	0.651747
1.657931	1.973723	0.651747
1.657931	1.973723	0.704379
1.710563	1.973723	0.704379
1.763195	1.973723	0.704379
1.815827	1.973723	0.757011
1.868459	1.973723	0.757011
1.921091	1.973723	0.809643
1.973723	1.973723	0.809643

m_isoIsoUParaTtoB	93	
-1.973684	-1.973684	0.967539
-1.921052	-1.973684	0.967539
-1.921052	-1.973684	0.914907
-1.868420	-1.973684	0.914907
-1.815788	-1.973684	0.914907
-1.763156	-1.973684	0.862275
-1.710523	-1.973684	0.862275
-1.710523	-1.973684	0.809643
-1.657891	-1.973684	0.809643
-1.605259	-1.973684	0.809643
-1.552627	-1.973684	0.757011
-1.499995	-1.973684	0.757011
-1.447363	-1.973684	0.704379
-1.394731	-1.973684	0.704379
-1.342099	-1.973684	0.651747
-1.289467	-1.973684	0.651747
-1.236835	-1.973684	0.651747
-1.236835	-1.973684	0.599115
-1.184203	-1.973684	0.599115
-1.131570	-1.973684	0.599115
-1.131570	-1.973684	0.546483
-1.078938	-1.973684	0.546483
-1.026306	-1.973684	0.546483
-0.973674	-1.973684	0.493850
-0.921042	-1.973684	0.493850
-0.921042	-1.973684	0.441218
-0.868410	-1.973684	0.441218
-0.815778	-1.973684	0.441218
-0.763146	-1.973684	0.388586
-0.710514	-1.973684	0.388586
-0.657882	-1.973684	0.335954
-0.605250	-1.973684	0.335954
-0.552617	-1.973684	0.283322
-0.499985	-1.973684	0.283322
-0.447353	-1.973684	0.230690
-0.394721	-1.973684	0.230690
-0.342089	-1.973684	0.230690
-0.342089	-1.973684	0.178058
-0.289457	-1.973684	0.178058
-0.236825	-1.973684	0.178058
-0.236825	-1.973684	0.125426
-0.184193	-1.973684	0.125426
-0.131561	-1.973684	0.125426
-0.131561	-1.973684	0.072794
-0.078929	-1.973684	0.072794
-0.026296	-1.973684	0.072794
0.026336	-1.973684	0.020162
0.078968	-1.973684	0.020162
0.131600	-1.973684	-0.032470
0.184232	-1.973684	-0.032470
0.236864	-1.973684	-0.085103
0.289496	-1.973684	-0.085103
0.342128	-1.973684	-0.137735
0.394760	-1.973684	-0.137735
0.447392	-1.973684	-0.137735
0.447392	-1.973684	-0.190367
0.500024	-1.973684	-0.190367
0.552657	-1.973684	-0.242999
0.605289	-1.973684	-0.242999
0.657921	-1.973684	-0.242999
0.657921	-1.973684	-0.295631
0.710553	-1.973684	-0.295631
0.763185	-1.973684	-0.295631
0.763185	-1.973684	-0.348263
0.815817	-1.973684	-0.348263
0.868449	-1.973684	-0.348263
0.868449	-1.973684	-0.400895
0.921081	-1.973684	-0.400895
0.973713	-1.973684	-0.400895
1.026345	-1.973684	-0.453527
1.078977	-1.973684	-0.453527
1.131610	-1.973684	-0.506159
1.184242	-1.973684	-0.506159
1.236874	-1.973684	-0.506159
1.236874	-1.973684	-0.558791
1.289506	-1.973684	-0.558791
1.342138	-1.973684	-0.611423
1.394770	-1.973684	-0.611423
1.447402	-1.973684	-0.611423
1.447402	-1.973684	-0.664056
1.500034	-1.973684	-0.664056
1.552666	-1.973684	-0.664056
1.552666	-1.973684	-0.716688
1.605298	-1.973684	-0.716688
1.657931	-1.973684	-0.716688
1.657931	-1.973684	-0.769320
1.710563	-1.973684	-0.769320
1.763195	-1.973684	-0.769320
1.763195	-1.973684	-0.821952
1.815827	-1.973684	-0.821952
1.868459	-1.973684	-0.821952
1.921091	-1.973684	-0.874584
1.973723	-1.973684	-0.874584

m_isoIsoVParaLtoR	93	
-1.973684	-1.973684	0.967539
-1.973684	-1.921052	0.967539
-1.973684	-1.921052	0.914907
-1.973684	-1.868420	0.914907
-1.973684	-1.815788	0.914907
-1.973684	-1.763156	0.862275
-1.973684	-1.710523	0.862275
-1.973684	-1.710523	0.809643
-1.973684	-1.657891	0.809643
-1.973684	-1.605259	0.809643
-1.973684	-1.552627	0.757011
-1.973684	-1.499995	0.757011
-1.973684	-1.447363	0.704379
-1.973684	-1.394731	0.704379
-1.973684	-1.342099	0.651747
-1.973684	-1.289467	0.651747
-1.973684	-1.236835	0.651747
-1.973684	-1.236835	0.599115
-1.973684	-1.184203	0.599115
-1.973684	-1.131570	0.599115
-1.973684	-1.131570	0.546483
-1.973684	-1.078938	0.546483
-1.973684	-1.026306	0.546483
-1.973684	-0.973674	0.493850
-1.973684	-0.921042	0.493850
-1.973684	-0.921042	0.441218
-1.973684	-0.868410	0.441218
-1.973684	-0.815778	0.441218
-1.973684	-0.763146	0.388586
-1.973684	-0.710514	0.388586
-1.973684	-0.657882	0.335954
-1.973684	-0.605250	0.335954
-1.973684	-0.552617	0.283322
-1.973684	-0.499985	0.283322
-1.973684	-0.447353	0.230690
-1.973684	-0.394721	0.230690
-1.973684	-0.342089	0.230690
-1.973684	-0.342089	0.178058
-1.973684	-0.289457	0.178058
-1.973684	-0.236825	0.178058
-1.973684	-0.236825	0.125426
-1.973684	-0.184193	0.125426
-1.973684	-0.131561	0.125426
-1.973684	-0.131561	0.072794
-1.973684	-0.078929	0.072794
-1.973684	-0.026296	0.072794
-1.973684	0.026336	0.020162
-1.973684	0.078968	0.020162
-1.973684	0.131600	-0.032470
-1.973684	0.184232	-0.032470
-1.973684	0.236864	-0.085103
-1.973684	0.289496	-0.085103
-1.973684	0.342128	-0.137735
-1.973684	0.394760	-0.137735
-1.973684	0.447392	-0.137735
-1.973684	0.447392	-0.190367
-1.973684	0.500024	-0.190367
-1.973684	0.552657	-0.242999
-1.973684	0.605289	-0.242999
-1.973684	0.657921	-0.242999
-1.973684	0.657921	-0.295631
-1.973684	0.710553	-0.295631
-1.973684	0.763185	-0.295631
-1.973684	0.763185	-0.348263
-1.973684	0.815817	-0.348263
-1.973684	0.868449	-0.348263
-1.973684	0.868449	-0.400895
-1.973684	0.921081	-0.400895
-1.973684	0.973713	-0.400895
-1.973684	1.026345	-0.453527
-1.973684	1.078977	-0.453527
-1.973684	1.131610	-0.506159
-1.973684	1.184242	-0.506159
-1.973684	1.236874	-0.506159
-1.973684	1.236874	-0.558791
-1.973684	1.289506	-0.558791
-1.973684	1.342138	-0.611423
-1.973684	1.394770	-0.611423
-1.973684	1.447402	-0.611423
-1.973684	1.447402	-0.664056
-1.973684	1.500034	-0.664056
-1.973684	1.552666	-0.664056
-1.973684	1.552666	-0.716688
-1.973684	1.605298	-0.716688
-1.973684	1.657931	-0.716688
-1.973684	1.657931	-0.769320
-1.973684	1.710563	-0.769320
-1.973684	1.763195	-0.769320
-1.973684	1.763195	-0.821952
-1.973684	1.815827	-0.821952
-1.973684	1.868459	-0.821952
-1.973684	1.921091	-0.874584
-1.973684	1.973723	-0.874584

m_m_isoIsoVParaRtoL	94	
1.973723	-1.973684	-0.874584
1.973723	-1.921052	-0.874584
1.973723	-1.868420	-0.874584
1.973723	-1.868420	-0.821952
1.973723	-1.815788	-0.821952
1.973723	-1.763156	-0.821952
1.973723	-1.710523	-0.769320
1.973723	-1.657891	-0.769320
1.973723	-1.605259	-0.716688
1.973723	-1.552627	-0.716688
1.973723	-1.499995	-0.716688
1.973723	-1.499995	-0.664056
1.973723	-1.447363	-0.664056
1.973723	-1.394731	-0.664056
1.973723	-1.394731	-0.611423
1.973723	-1.342099	-0.611423
1.973723	-1.289467	-0.611423
1.973723	-1.236835	-0.558791
1.973723	-1.184203	-0.558791
1.973723	-1.131570	-0.558791
1.973723	-1.131570	-0.506159
1.973723	-1.078938	-0.506159
1.973723	-1.026306	-0.506159
1.973723	-1.026306	-0.453527
1.973723	-0.973674	-0.453527
1.973723	-0.921042	-0.453527
1.973723	-0.868410	-0.400895
1.973723	-0.815778	-0.400895
1.973723	-0.763146	-0.348263
1.973723	-0.710514	-0.348263
1.973723	-0.657882	-0.348263
1.973723	-0.657882	-0.295631
1.973723	-0.605250	-0.295631
1.973723	-0.552617	-0.295631
1.973723	-0.552617	-0.242999
1.973723	-0.499985	-0.242999
1.973723	-0.447353	-0.242999
1.973723	-0.394721	-0.190367
1.973723	-0.342089	-0.190367
1.973723	-0.289457	-0.190367
1.973723	-0.289457	-0.137735
1.973723	-0.236825	-0.137735
1.973723	-0.184193	-0.137735
1.973723	-0.184193	-0.085103
1.973723	-0.131561	-0.085103
1.973723	-0.078929	-0.085103
1.973723	-0.026296	-0.032470
1.973723	0.026336	-0.032470
1.973723	0.078968	-0.032470
1.973723	0.078968	0.020162
1.973723	0.131600	0.020162
1.973723	0.184232	0.020162
1.973723	0.184232	0.072794
1.973723	0.236864	0.072794
1.973723	0.289496	0.072794
1.973723	0.342128	0.125426
1.973723	0.394760	0.125426
1.973723	0.447392	0.178058
1.973723	0.500024	0.178058
1.973723	0.552657	0.178058
1.973723	0.552657	0.230690
1.973723	0.605289	0.230690
1.973723	0.657921	0.230690
1.973723	0.657921	0.283322
1.973723	0.710553	0.283322
1.973723	0.763185	0.283322
1.973723	0.815817	0.335954
1.973723	0.868449	0.335954
1.973723	0.921081	0.335954
1.973723	0.921081	0.388586
1.973723	0.973713	0.388586
1.973723	1.026345	0.388586
1.973723	1.078977	0.441218
1.973723	1.131610	0.441218
1.973723	1.184242	0.441218
1.973723	1.184242	0.493850
1.973723	1.236874	0.493850
1.973723	1.289506	0.493850
1.973723	1.289506	0.546483
1.973723	1.342138	0.546483
1.973723	1.394770	0.546483
1.973723	1.447402	0.599115
1.973723	1.500034	0.599115
1.973723	1.552666	0.599115
1.973723	1.552666	0.651747
1.973723	1.605298	0.651747
1.973723	1.657931	0.651747
1.973723	1.657931	0.704379
1.973723	1.710563	0.704379
1.973723	1.763195	0.704379
1.973723	1.815827	0.757011
1.973723	1.868459	0.757011
1.973723	1.921091	0.809643
1.973723	1.973723	0.809643

